test,parameter,true_effect,n,power,method,post_hoc
H28_TOST,bound=±2.0,0.0,399,1.0,"simulation (normal, sd from observed CI90)",True
H28_TOST,bound=±2.0,0.687,399,1.0,"simulation (normal, sd from observed CI90)",True
H28_TOST,bound=±1.0,0.0,399,1.0,"simulation (normal, sd from observed CI90)",True
H28_TOST,bound=±1.0,0.687,399,0.795,"simulation (normal, sd from observed CI90)",True
H29_interval,CI lower ≥ 0.85,0.8998,394,0.814,"normal approx, se from article-clustered bootstrap CI",True
H29_interval,CI lower ≥ 0.85,0.88,394,0.405,"normal approx, se from article-clustered bootstrap CI",True
H29_interval,CI lower ≥ 0.85,0.86,394,0.083,"normal approx, se from article-clustered bootstrap CI",True
H26_directional,"pooled one-sided, α=.05",asymmetry ratio 2.0-2.7 (anchored sensitivity),80+80 articles,0.77-0.95,registration §6.8.11 simulation (pre-collection),False
H26_directional,MDD at 80% power,observed +0.0519,80+80 articles,MDD=+0.0423,"normal approx, se from observed t",True
